Entity,SOP,SubSOP,Module_Name,Parent_Context
Scott Electric Distribution,FINANCIAL,Accounts Receivable,02_Enter a Credit Memo,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,z_PLAYGROUND,,APS100 Supplier Invoice Record,CSD > Document Library > z_PLAYGROUND
PALCO,ISM,01_Service Order Process,16_Create SRO Callback,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,13_Apply Account Credits to Invoice,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
PALCO,ISM,04_ISM Set Up,01_Partner Set Up,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
PALCO,ISM,01_Service Order Process,14_Close SRO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,OPERATIONS,02_Warehouse,02_Run either the IC Entry Cycle Count Report or the IC Entry Physical Count Report,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,FINANCIAL,Credit,01_Release Credit Hold,CSD > Document Library > FINANCIAL > Credit
Scott Electric Distribution,PRICING,,Quiz Level 2 | Pricing,CSD > Document Library > PRICING
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,04.5_Create Warehouse Transfer,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,FINANCIAL,Accounts Receivable,23_Invoice Processing,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,SALES,,Quiz Level 2 | Sales,CSD > Document Library > SALES
Scott Electric Distribution,SALES,01_Order Entry,03_Enter a Direct Order,CSD > Document Library > SALES > 01_Order Entry
PALCO,START UP,,01_Order Inquiry,CSD > Document Library > PALCO POWER SYSTEMS > START UP
Scott Electric Distribution,PRICING,,11H_PDSP -  Level 6 - Customer Type,CSD > Document Library > PRICING
Scott Electric Distribution,PRICING,,17_PDAPP - PD Administrator Price/Costs Update,CSD > Document Library > PRICING
PALCO,ISM,03_Warranty Process,04_Change Operations,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
PALCO,START UP,,05_Add Start Up Notes,CSD > Document Library > PALCO POWER SYSTEMS > START UP
PALCO,ISM,01_Service Order Process,12_Posting Transactions,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
PALCO,ISM,01_Service Order Process,10_Receive the Non-Stock,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
PALCO,ISM,01_Service Order Process,03_Incident to SRO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
PALCO,ISM,01_Service Order Process,06_Add Operations,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
PALCO,SALES,03_Order Review,01_Review the Shopping List,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 03_Order Review
Scott Electric Distribution,SALES,06_Lookup and Inquiry,01_Perform Lookups in Customer Sales Order,CSD > Document Library > SALES > 06_Lookup and Inquiry
PALCO,ISM,04_ISM Set Up,08_Contract Rental Template,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
PALCO,ISM,02_Rental Process,11_Change Billing Details,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,SALES,02_Order Modification,01_Add Items to Stock Customer Sales Order,CSD > Document Library > SALES > 02_Order Modification
Scott Electric Distribution,FINANCIAL,Accounts Receivable,04_Returned Check,CSD > Document Library > FINANCIAL > Accounts Receivable > 03_Account Adjustments and Corrections
Scott Electric Distribution,FINANCIAL,Accounts Payable,08_Enter a Credit Memo,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
PALCO,PURCHASING,01_Purchase Order Entry to Print,01_Create Purchase Order,CSD > Document Library > PALCO POWER SYSTEMS > PURCHASING > 01_Purchase Order Entry to Print
PALCO,ISM,02_Rental Process,07_Receive Re Rent PO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,PURCHASING,08_Miscellaneous,01_How to Use the Quote Modification,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,PRICING,,16_PDSF - Future Price/Cost Change Update,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Receivable,11_Apply Payment Using Split Check,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
PALCO,FINANCIAL,ACCOUNTS PAYABLE,01_Direct Ship with Serials,CSD > Document Library > PALCO POWER SYSTEMS > FINANCIAL > ACCOUNTS PAYABLE
Scott Electric Distribution,PRICING,,09A_Remnants - Creating a Piece Item,CSD > Document Library > PRICING
PALCO,SALES,Palco Specific Sales,08_Make a Product Serialized,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
Scott Electric Distribution,SALES,01_Order Entry,02_Enter a Quote Order,CSD > Document Library > SALES > 01_Order Entry
PALCO,ISM,04_ISM Set Up,03_Create a New Work Code,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
Scott Electric Distribution,Basics,,Log into UAP,CSD > Document Library > Basics
Scott Electric Distribution,z_PLAYGROUND,,Quiz Level 1,CSD > Document Library > z_PLAYGROUND
Scott Electric Distribution,SALES,05_Product Management,04_Add Catalog Product to Order,CSD > Document Library > SALES > 05_Product Management
Scott Electric Distribution,PRICING,,11G_PDSP - Level 5 - Customer,CSD > Document Library > PRICING
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),02_Merge POs_Print POs_Generate Exception Report,CSD > Document Library > PURCHASING > 06_Demand Tasks (DEM)
Scott Electric Distribution,SALES,04_Order Copying and Conversion,01_Copy Quote Order to a Stock Order,CSD > Document Library > SALES > 04_Order Copying and Conversion
Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,03_Acknowledge Purchase Order,CSD > Document Library > PURCHASING > 04_PO Print to Receipt
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),06_Review Exception Processing Center Screen,CSD > Document Library > PURCHASING > 06_Demand Tasks (DEM)
Scott Electric Distribution,PURCHASING,08_Miscellaneous,03_Blanket POs,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,FINANCIAL,Accounts Receivable,05_Apply Payment to Invoice,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
PALCO,ISM,01_Service Order Process,09_Print the Non-Stock PO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
PALCO,ISM,01_Service Order Process,01.2_CSD Incident,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,03_Order Inquiries,CSD > Document Library > OPERATIONS > 00_Basic Warehouse
Scott Electric Distribution,SALES,01_Order Entry,01_Enter Stock Customer Sales Order,CSD > Document Library > SALES > 01_Order Entry
Scott Electric Distribution,FINANCIAL,Accounts Payable,01_Create Invoice Process Group,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,05_Customer Invoice Modification,CSD > Document Library > FINANCIAL > Accounts Receivable > 03_Account Adjustments and Corrections
