RoleName,Entity,SOP,SubSOP,Coverage
Customer Service M,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Customer Service M,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Customer Service M,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Customer Service M,Scott Electric Distribution,SALES,,ALL
Customer Service M,Scott Electric Distribution,SALES,01_Order Entry,ALL
Customer Service M,Scott Electric Distribution,SALES,02_Order Modification,ALL
Customer Service M,Scott Electric Distribution,SALES,03_Order Review,ALL
Customer Service M,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL
Customer Service M,Scott Electric Distribution,SALES,05_Product Management,ALL
Customer Service M,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL
Customer Service M,Scott Electric Distribution,SALES,07_Wire Order Placement,ALL
Customer Service M,Scott Electric Distribution,SALES,BATTERY,ALL
Inside Sales,Scott Electric Distribution,Basics,,ALL
Inside Sales,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Inside Sales,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Inside Sales,Scott Electric Distribution,PURCHASING,,ALL
Inside Sales,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Inside Sales,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Inside Sales,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Inside Sales,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Inside Sales,Scott Electric Distribution,SALES,,ALL
Inside Sales,Scott Electric Distribution,SALES,01_Order Entry,ALL
Inside Sales,Scott Electric Distribution,SALES,02_Order Modification,ALL
Inside Sales,Scott Electric Distribution,SALES,03_Order Review,ALL
Inside Sales,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL
Inside Sales,Scott Electric Distribution,SALES,05_Product Management,ALL
Inside Sales,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL
Inside Sales,Scott Electric Distribution,SALES,07_Wire Order Placement,ALL
Inside Sales,Scott Electric Distribution,SALES,BATTERY,ALL
OPS Managers - Manager,Scott Electric Distribution,Basics,,ALL
OPS Managers - Manager,Scott Electric Distribution,OPERATIONS,,ALL
OPS Managers - Manager,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
OPS Managers - Manager,Scott Electric Distribution,OPERATIONS,02_Warehouse,ALL
OPS Managers - Manager,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
OPS Managers - Manager,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
OPS Warehouse - Basic,Scott Electric Distribution,Basics,,ALL
