Entity,SOP,SubSOP,Module_Name,RoleName,Source,Flag
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,11_Cancel PO,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,04.5_Create Warehouse Transfer,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,14_Add Items to Purchase Order Using Advanced Line Entry,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,08_Create Quote PO with Notes and Comments,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,02_Add Items to PO and Finish It,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,01_Create Purchase Order,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,10_Apply Hold and Approve Held PO,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,03.5_Perform Lookups in a PO,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,05_Locate PO Using PO Inquiry,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,06_Change PO,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,04_Finish the Purchase Order,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,09_Print PO,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,03_Purchase Order Apply Add Ons and Discounts,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,07_Copy PO,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,04_Review Line Item Details,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,03_Review and Modify RRAR Record,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,02_View RRAR Records,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,09_Consolidate Multiple RRARS for Different Vendor Product Lines or Warehouses,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,07_Adjust RARR Quantities Using Increase-Decrease Function in PO Demand Center,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,05_Update or Validate Quantities Needed,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,01_Generate RRAR,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,06_Accept Replenishments,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,11_Merge POs_Print POs_Genrerate Exception Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,01_Set Up New Product Line,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,03_Acknowledge Purchase Order,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,01_Purchase Order Submit PO to Vendor,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,02_Purchase Order Maintain PO,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,01_Initiate Vendor Return,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06.5_Run Reports,01_Print PO Expedite Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06.5_Run Reports,03_Print Fill Report by Class Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06.5_Run Reports,02_Print Inventory Turnover Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06.5_Run Reports,05_Print Surplus Stock Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06.5_Run Reports,04_Print Gap Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),02_Merge POs_Print POs_Generate Exception Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),06_Review Exception Processing Center Screen,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),04_Generate IC Admin Inventory Classification and Rank Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),03_Generate IC Admin Review Cycle Adjustment Report,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),01_View Consolidation Info in Demand Center,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,01_Manual Entry of a Warehouse Transfer,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,04_Maintaining a Warehouse Tranfer,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,03_Run the WTERR,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,06_Canceling a Warehouse Transfer,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,07_Tying a Warehouse Transfer to a Customer Order,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,05_Notes on a Warehouse Transfer,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,02_Approving a Warehouse Transfer That is on Hold,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,08_Correcting an Over Under Receipt,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,07_Tying a PO RM to a Sales Order Line,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,01_How to Use the Quote Modification,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,03_Blanket POs,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,04_Accumulative POs,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,10_Correcting a Wrong Cost Receipt,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,06_Returning an Acknowledged PO to the Printed Stage,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,05_Returning a Core Product,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,09_Correcting a Wrong Product Receipt,Special Sales,ALL,R
Scott Electric Distribution,PURCHASING,08_Miscellaneous,02_Determining Extra Stock to Order,Special Sales,ALL,R
PALCO,FINANCIAL,ACCOUNTS PAYABLE,01_Direct Ship with Serials,SysAdmin,ALL,R
PALCO,FINANCIAL,ACCOUNTS PAYABLE,01_Create Invoice Process Group,SysAdmin,ALL,R
PALCO,FINANCIAL,GENERAL LEDGER,05_Account Inquiry and Report,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,15_Create SRO Estimate,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,11_Schedule Service,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,17_Convert Estimate To SRO,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,01_ISM Incident,SysAdmin,ALL,R
