RoleName,Entity,SOP,SubSOP,Coverage,Entity_norm,SOP_norm,SubSOP_norm,RoleName_norm
Cashier/Customer Service,Scott Electric Distribution,FINANCIAL,Credit,ALL,Scott Electric Distribution,FINANCIAL,Credit,Cashier/Customer Service
Cashier/Customer Service,Scott Electric Distribution,FINANCIAL,General Ledger,ALL,Scott Electric Distribution,FINANCIAL,General Ledger,Cashier/Customer Service
CORE_ACT,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,CORE_ACT
CORE_ACT,Scott Electric Distribution,FINANCIAL,nan,ALL,Scott Electric Distribution,FINANCIAL,nan,CORE_ACT
CORE_ACT,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Payable,CORE_ACT
CORE_ACT,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Receivable,CORE_ACT
CORE_ACT,Scott Electric Distribution,FINANCIAL,Credit,ALL,Scott Electric Distribution,FINANCIAL,Credit,CORE_ACT
CORE_ACT,Scott Electric Distribution,FINANCIAL,General Ledger,ALL,Scott Electric Distribution,FINANCIAL,General Ledger,CORE_ACT
CORE_MNS,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,CORE_MNS
CORE_MNS,Scott Electric Distribution,FINANCIAL,nan,ALL,Scott Electric Distribution,FINANCIAL,nan,CORE_MNS
CORE_MNS,Scott Electric Distribution,FINANCIAL,Credit,ALL,Scott Electric Distribution,FINANCIAL,Credit,CORE_MNS
CORE_MNS,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,CORE_MNS
CORE_MNS,Scott Electric Distribution,OPERATIONS,02_Warehouse,ALL,Scott Electric Distribution,OPERATIONS,02_Warehouse,CORE_MNS
CORE_MNS,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE,Scott Electric Distribution,PJM,01_Basic Bidding Process,CORE_MNS
CORE_MNS,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE,Scott Electric Distribution,PJM,04_Customer Quote Creation,CORE_MNS
CORE_MNS,Scott Electric Distribution,PURCHASING,nan,ALL,Scott Electric Distribution,PURCHASING,nan,CORE_MNS
CORE_MNS,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,CORE_MNS
